,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2023-01-24,155.00381958389477,131.86873918960282,190.00864827972788,155.00381958389477,155.00381958389477,6.952789558966219,6.952789558966219,6.952789558966219,6.952789558966219,6.952789558966219,6.952789558966219,0.0,0.0,0.0,161.956609142861
11,2023-01-25,155.40667529389324,135.48568435803867,191.15711374913803,155.40667529389324,155.40667529389324,6.403556996550709,6.403556996550709,6.403556996550709,6.403556996550709,6.403556996550709,6.403556996550709,0.0,0.0,0.0,161.81023229044396
12,2023-01-26,155.8095310038917,132.21044175614165,191.65449748301708,155.8095310038917,155.8095310038917,5.389365609307714,5.389365609307714,5.389365609307714,5.389365609307714,5.389365609307714,5.389365609307714,0.0,0.0,0.0,161.1988966131994
13,2023-01-27,156.21238671389017,132.04839673584812,191.00447114077645,156.21238671389017,156.21238671389017,5.867530937249648,5.867530937249648,5.867530937249648,5.867530937249648,5.867530937249648,5.867530937249648,0.0,0.0,0.0,162.07991765113982
14,2023-01-30,157.42095384388557,133.66101991940337,190.22127461187213,157.42095384388557,157.42095384388557,4.858815853982639,4.858815853982639,4.858815853982639,4.858815853982639,4.858815853982639,4.858815853982639,0.0,0.0,0.0,162.2797696978682
15,2023-01-31,157.82380955388405,136.23383874102007,195.51246195189722,157.82380955388405,157.82380955388405,6.952789558960652,6.952789558960652,6.952789558960652,6.952789558960652,6.952789558960652,6.952789558960652,0.0,0.0,0.0,164.7765991128447
16,2023-02-01,158.22666526388252,136.02422854762762,193.58050032896995,158.22666526388252,158.22666526388252,6.403556996554944,6.403556996554944,6.403556996554944,6.403556996554944,6.403556996554944,6.403556996554944,0.0,0.0,0.0,164.63022226043748
17,2023-02-02,158.62952090061913,135.58428483644258,191.91427612621135,158.62952090061913,158.62952090061913,5.3893656093123035,5.3893656093123035,5.3893656093123035,5.3893656093123035,5.3893656093123035,5.3893656093123035,0.0,0.0,0.0,164.01888650993143
18,2023-02-03,159.03237653735573,138.63996369322945,192.4965331343639,159.03237653735573,159.03237653735573,5.867530937224606,5.867530937224606,5.867530937224606,5.867530937224606,5.867530937224606,5.867530937224606,0.0,0.0,0.0,164.89990747458035
19,2023-02-06,160.24094344756554,136.14812393522632,193.99634532686673,160.24094344756554,160.24094344756554,4.858815853997939,4.858815853997939,4.858815853997939,4.858815853997939,4.858815853997939,4.858815853997939,0.0,0.0,0.0,165.0997593015635
20,2023-02-07,160.64379908430215,140.91732390877522,196.5026965211407,160.64379908430215,160.64379908430215,6.9527895589830955,6.9527895589830955,6.9527895589830955,6.9527895589830955,6.9527895589830955,6.9527895589830955,0.0,0.0,0.0,167.59658864328523
21,2023-02-08,161.04665472103875,137.70633733939698,194.5829413386193,161.04665472103875,161.04665472103875,6.403556996551804,6.403556996551804,6.403556996551804,6.403556996551804,6.403556996551804,6.403556996551804,0.0,0.0,0.0,167.45021171759055
22,2023-02-09,161.44951035777535,138.2605804657201,194.69343402586685,161.44951035777535,161.44951035777535,5.389365609316893,5.389365609316893,5.389365609316893,5.389365609316893,5.389365609316893,5.389365609316893,0.0,0.0,0.0,166.83887596709224
23,2023-02-10,161.85236599451196,138.6163296531676,195.5396663622835,161.85236599451196,161.85236599451196,5.867530937223491,5.867530937223491,5.867530937223491,5.867530937223491,5.867530937223491,5.867530937223491,0.0,0.0,0.0,167.71989693173543
24,2023-02-13,163.0609329047218,139.68429830964246,196.4798277813589,163.0609329047218,163.0609329047218,4.858815854013238,4.858815854013238,4.858815854013238,4.858815854013238,4.858815854013238,4.858815854013238,0.0,0.0,0.0,167.91974875873504
25,2023-02-14,163.45598440556867,144.08946521535646,199.58887205012118,163.45598440556867,163.45598440556867,6.9527895589566455,6.9527895589566455,6.9527895589566455,6.9527895589566455,6.9527895589566455,6.9527895589566455,0.0,0.0,0.0,170.40877396452532
